size,floor,area_type,city,furnishing_status,tenant_preferred,point_of_contact,bhk,bathroom,rent
21.213203435596427,1,10.114478633676404,9.143116502292985,10.17639086057461,9.962286293987415,9.470199200564975,2,2,8.853808274977197
28.284271247461902,0,10.114478633676404,9.143116502292985,9.473014160554936,9.65720567305359,9.470199200564975,1,1,8.77971129020447
26.457513110645905,1,9.484689112861972,9.143116502292985,10.17639086057461,9.65720567305359,9.470199200564975,2,1,9.90353755128617
41.23105625617661,0,9.484689112861972,9.143116502292985,9.473014160554936,9.65720567305359,9.470199200564975,3,2,10.494768106692502
25.495097567963924,1,9.484689112861972,9.143116502292985,9.473014160554936,9.65720567305359,9.470199200564975,2,1,8.987321812850125
31.622776601683793,2,9.484689112861972,9.143116502292985,9.473014160554936,9.65720567305359,9.470199200564975,1,1,9.61587214452889
31.622776601683793,0,9.484689112861972,9.143116502292985,9.473014160554936,9.65720567305359,9.470199200564975,2,2,9.61587214452889
36.742346141747674,1,10.114478633676404,9.143116502292985,9.473014160554936,10.128875525874241,9.470199200564975,3,2,9.61587214452889
18.708286933869708,0,10.114478633676404,9.143116502292985,9.84989355513051,9.65720567305359,9.470199200564975,1,1,8.517393171418904
31.622776601683793,0,9.484689112861972,9.143116502292985,9.473014160554936,9.65720567305359,9.470199200564975,3,2,9.392745258631441
31.622776601683793,0,9.484689112861972,9.143116502292985,10.17639086057461,9.65720567305359,9.470199200564975,2,2,9.305741456739435
27.386127875258307,2,10.114478633676404,9.143116502292985,9.84989355513051,9.65720567305359,9.470199200564975,2,2,8.987321812850125
25.495097567963924,2,10.114478633676404,9.143116502292985,9.473014160554936,9.65720567305359,9.470199200564975,2,1,9.105090961257085
36.05551275463989,1,9.484689112861972,9.143116502292985,9.473014160554936,9.65720567305359,9.470199200564975,2,2,9.798182590890704
27.386127875258307,1,10.114478633676404,9.143116502292985,9.473014160554936,9.65720567305359,9.470199200564975,2,2,9.433563920090563
